P LHS RHS
0.0001 [NP] "[NP] [NN] [SBAR]"
0.0001 [NP] "[NP] [JJR] [NN]"
0.0001 [NP] "[``] [NP] [''] [SBAR]"
0.0001 [NP] "[JJS] [NN] [NNS]"
0.0001 [NP] "[DT] [``] [NNS] ['']"
0.0001 [NP] "[JJ] [NNS] [CC] [NN]"
0.0001 [NP] "[ADVP] [NP] [CC] [NP]"
0.0001 [NP] "[NNP] [NNP] [NN] [NNS]"
0.0001 [NP] "[NP] [PRN] [SBAR]"
0.0001 [NP] "[NP] [NP] [.]"
0.0001 [NP] "[ADJP] [VBN] [NN]"
0.0001 [NP] "[ADJP] [NN] [NNP] [NNP]"
0.0001 [NP] "[NAC] [NNP] [NNP]"
0.0001 [NP] "[DT] [VBG] [NN] [SBAR]"
0.0001 [NP] "[NP] [``] [VP]"
0.0001 [NP] "[NP] [,] [ADVP-TMP]"
0.0001 [NP] "[DT] [JJS] [NNS] [NN]"
0.0001 [NP] "[PDT] [DT] [NNS]"
0.0001 [NP] "[PRP$] [JJ] [VBG] [NN]"
0.0001 [NP] "[NP] [PP] [PRN] [NP]"
0.0001 [NP] "[NP] [PP] [ADVP-LOC] [SBAR-1]"
0.0001 [NP] "[JJ] [UCP] [NNS]"
0.0001 [NP] "[JJ] [NN] [NNS] [NN]"
0.0001 [NP] "[DT] [JJR] [NN] [S]"
0.0001 [NP] [FW]
0.0001 [NP] "[NP] [CD] [JJS] [NNS]"
0.0001 [NP] "[NNP] [NNS] [NNS]"
0.0001 [NP] "[NNP] [IN] [NNP]"
0.0001 [NP] "[PRP$] [NX-TTL] [JJ] [NNS]"
0.0001 [NP] "[NP] [,] [VP] [,]"
0.0001 [NP] "[DT] [CD] [VBG] [NNS]"
0.0001 [NP] "[NNP] [NNP] [NNP] [NN]"
0.0001 [NP] "[NP] [SBAR] [.]"
0.0001 [NP] "[PRP$] [JJ] [CD] [NNS]"
0.0001 [NP] "[NP] [PP-TMP] [SBAR]"
0.0001 [NP] "[NN] [NN] [CC] [VBZ]"
0.0001 [NP] "[PRP$] [NN] [NNS] [NN]"
0.0001 [NP] "[RB] [CD] [NN]"
0.0001 [NP] "[NP] [CC] [NP-TTL]"
0.0001 [NP] "[NP] [NP] [PP]"
0.0001 [NP] "[JJ] [NNS] [NN]"
0.0001 [NP] "[NAC] [JJ] [NN]"
0.0001 [NP] "[ADJP] [ADJP] [NNS]"
0.0001 [NP] "[PRP$] [JJS] [NNS]"
0.0001 [NP] "[DT] [JJS] [VBG] [NNS]"
0.0001 [NP] "[NP] [PP-LOC] [NP]"
0.0001 [NP] "[NP] [JJS] [CC] [JJS]"
0.0001 [NP] "[NP] [PP] [:] [NP]"
0.0001 [NP] "[NN] [NNS] [NNS]"
0.0001 [NP] "[PRP$] [NNS] [POS]"
0.0001 [NP] "[CD] [NN] [JJ] [NNS]"
0.0001 [NP] "[DT] [ADJP] [NX-TTL]"
0.0001 [NP] "[DT] [JJ] [QP] [NNS]"
0.0001 [NP] "[NAC] [NNS]"
0.0001 [NP] "[NP] [,] [NP-LOC] [.]"
0.0001 [NP] "[PRP$] [JJ] [NN] [NNS]"
0.0001 [NP] "[``] [NP] [NN] ['']"
0.0001 [NP] "[PRP$] [JJS] [NN]"
0.0001 [NP] "[NP] [VBN] [NN] [NNS]"
0.0001 [NP] "[JJ] [CC] [DT] [NN]"
0.0001 [NP] "[NP] [NP-TMP] [PP]"
0.0001 [NP] "[DT] [CD] [CC] [CD]"
0.0001 [NP] "[DT] [NP] [CC] [NP]"
0.0001 [NP] "[DT] [``] [NN] [S]"
0.0001 [NP] "[NN] [VBD] [NNS]"
0.0001 [NP] "[CD] [ADJP] [NNS]"
0.0001 [NP] "[``] [QP] [''] [NNS]"
0.0001 [NP] "[DT] [JJ] [NN] [CD]"
0.0001 [NP] "[NN] [CC] [DT]"
0.0001 [NP] "[NNP] [NN] [NNP]"
0.0001 [NP] "[JJ] [``] [NN] ['']"
0.0001 [NP] "[QP] [NNP] [NN]"
0.0001 [NP] "[RB] [NNP]"
0.0001 [NP] "[NP] [JJR] [NNS]"
0.0001 [NP] "[VBN] [NNS] [NNS]"
0.0001 [NP] "[VBG] [NNS] [.]"
0.0001 [NP] "[VBZ] [S]"
0.0001 [NP] "[NP] [PP] [SBAR-PRP]"
0.0001 [NP] "[DT] [ADJP] [NNS] [NN]"
0.0001 [NP] "[NNP] [NN] [VBN] [NNS]"
0.0001 [NP] "[NP] [TO] [NP]"
0.0001 [NP] "[NP] [ADVP] [PP]"
0.0001 [NP] "[JJ] [CD] [NNS]"
0.0001 [NP] "[NP] [SBAR] [,] ['']"
0.0001 [NP] "[PRP$] [NNP] [CD] [NN]"
0.0001 [NP] "[PDT] [PRP$] [NNS]"
0.0001 [NP] "[JJ] [NN] [NNP] [NNS]"
0.0001 [NP] "[LST] [NP] [PP]"
0.0001 [NP] "[NNPS] [NNPS]"
0.0001 [NP] "[JJ] [ADJP] [NNS]"
0.0001 [NP] "[JJ] [NN] [VBZ]"
0.0001 [NP] "[NNPS] [NNP]"
0.0001 [NP] "[VB] [NNS]"
0.0001 [NP] "[CD] [NNS] [JJ]"
0.0001 [NP] "[NNP] [CC] [NNP] [.]"
0.0001 [NP] "[DT] [VBG] [CD] [NNS]"
0.0001 [NP] "[JJ] [,] [JJ] [NNS]"
0.0001 [NP] "[QP] [NN] [NN]"
0.0001 [NP] "[NNS] [CC] [NN]"
0.0001 [NP] "[DT] [JJ] [VBG] [NNS]"
0.0001 [NP] "[PRP$] [JJ] [NN] [POS]"
0.0001 [NP] "[CD] [NNP] [NNP]"
0.0001 [NP] "[NP] [``] [JJ] [NNS]"
0.0001 [NP] "[NAC-LOC] [CD] [NNP] [NNP]"
0.0001 [NP] "[NP] [JJS] [NN]"
0.0001 [NP] "[NP] [:] [CC] [NP]"
0.0001 [NP] "[DT] [NNS] [RB]"
0.0001 [NP] "[NP] [JJS] [NN] [NNS]"
0.0001 [NP] "[NX-TTL] [NNS] [POS]"
0.0001 [NP] "[NP] [-LRB-] [NP] [-RRB-]"
0.0001 [NP] "[PRP$] [VBN] [NN]"
0.0001 [NP] "[NP] [:] [SQ] [.]"
0.0001 [NP] "[NP] [CD] [NN]"
0.0001 [NP] "[NP] [PP-TMP] [PP-TMP]"
0.0001 [NP] "[DT] [NN] [CD]"
0.0001 [NP] "[CD] [NP] [NNS]"
0.0001 [NP] "[NNP] [NNP] [JJ] [NNS]"
0.0001 [NP] "[VBG] [JJ] [NNS]"
0.0001 [NP] "[JJ] [NNP] [CD]"
0.0001 [NP] [WDT]
0.0001 [NP] "[DT] [CD] [NNP] [NN]"
0.0001 [NP] "[NP] [NP-ADV] [ADVP]"
0.0001 [NP] "[NNP] [NP]"
0.0001 [NP] "[PRP$] [CD] [CC] [CD]"
0.0001 [NP] "[NP] [PP] [PP] [PP]"
0.0001 [NP] "[VBG] [NN] [NNS]"
0.0001 [NP] "[NP] [CC] [ADVP] [NP]"
0.0001 [NP] "[NNP] [NN] [NN] [NN]"
0.0001 [NP] "[$] [CD] [CD] [-NONE-]"
0.0001 [NP] "[PRP] [NN]"
0.0001 [NP] "[NN] [NNS] [CC] [NNS]"
0.0001 [NP] "[NP] [NNPS] [NNP] [NNP]"
0.0001 [NP] "[ADVP] [DT] [JJ] [NN]"
0.0001 [NP] "[NP] [PP-LOC] [VP]"
0.0001 [NP] "[NP] [PP-CLR] [PP]"
0.0001 [NP] "[IN] [JJ] [NN] [NN]"
0.0001 [NP] "[CD] [CD] [JJ] [NNS]"
0.0001 [NP] "[PRP$] [JJ] [NNP] [NNP]"
0.0001 [NP] "[NP] [PP-LOC] [PRN]"
0.0001 [NP] "[``] [NP] [''] [PP-LOC]"
0.0001 [NP] "[DT] [NX-TTL]"
0.0001 [NP] "[DT] [``] [JJ] [NN]"
0.0001 [NP] "[UCP] [NN]"
0.0001 [NP] "[DT] [VBN] [CD] [CD]"
0.0001 [NP] "[NP] [PP] [SBAR-TMP]"
0.0001 [NP] "[NP-TTL] [,] [SBAR]"
0.0001 [NP] "[PRP$] [QP] [NNS]"
0.0001 [NP] "[DT] [``] [ADJP] [NN]"
0.0001 [NP] "[PRP] [NN] [NN]"
0.0001 [NP] "[NP] [VBN] [QP] [-NONE-]"
0.0001 [NP] "[NP] [PRN] [SBAR-TMP]"
0.0001 [NP] "[JJ] [JJ] [NNP] [NNS]"
0.0001 [NP] "[NP] [,] [NP] [.]"
0.0001 [NP] "[NP] [ADJP] [NNS]"
0.0001 [NP] "[IN] [DT] [JJ] [NN]"
0.0001 [NP] "[NN] [CC] [VBG] [NN]"
0.0001 [NP] "[CD] [JJR] [NNS]"
0.0001 [NP] "[CD] [RB]"
0.0001 [NP] "[DT] [VBN] [NN] [NN]"
0.0001 [NP] "[WP] [RB]"
0.0001 [NP] "[JJ] [NNP] [POS]"
0.0001 [NP] "[NP] [:] [``] [S]"
0.0001 [NP] "[DT] [JJ] [ADJP] [NN]"
0.0001 [NP] "[DT] [JJ] [VBN] [NNS]"
0.0001 [NP] "[NP] [NNP] [NNP] [NN]"
0.0001 [NP] "[NNP] [NNP] [.]"
0.0001 [NP] "[CD] [NN] [QP]"
0.0001 [NP] "[DT] [QP] [NNS]"
0.0001 [NP] "[NP] [:] [``] [SBAR-ADV]"
0.0001 [NP] "[RB] [JJ] [NN]"
0.0001 [NP] "[NP] [NN] [PRN] [S]"
0.0001 [NP] "[DT] [NN] [VBG] [NN]"
0.0001 [NP] "[RB] [DT] [QP] [NNS]"
0.0001 [NP] "[NNP] [NNP] [NNP] [:]"
0.0001 [NP] "[DT] [DT] [NN]"
0.0001 [NP] "[NP] [SBAR] [,] [PP]"
0.0001 [NP] "[NP] [NN] [CC] [NN]"
0.0001 [NP] "[PRP$] [NNS] [NN]"
0.0001 [NP] "[QP] [DT] [NN]"
0.0001 [NP] "[ADVP] [DT]"
0.0001 [NP] "[PRP$] [JJ] [CD] [NN]"
0.0001 [NP] "[NP] [:] [VP] [.]"
0.0001 [NP] "[NP] [CD] [NN] [NN]"
0.0001 [NP] "[NP] [ADVP-DIR] [PP-DIR]"
0.0001 [NP] "[NAC-LOC] [NN]"
0.0001 [NP] "[JJR] [JJ] [NX]"
0.0001 [NP] "[DT] [CD] [NNS] [POS]"
0.0001 [NP] "[NP] [VP] [PP-LOC]"
0.0001 [NP] "[NP] [ADJP] [JJ] [NN]"
0.0001 [NP] "[RB] [DT] [ADJP] [NNS]"
0.0001 [NP] "[DT] [NN] [QP] [-NONE-]"
0.0001 [NP] "[NP] [PP] [S]"
0.0001 [NP] "[JJ] [JJ] [NNP]"
0.0001 [NP] "[PDT] [DT] [JJ] [NN]"
0.0001 [NP] "[PRP$] [JJS]"
0.0001 [NP] "[DT] [NN] [NN] [SBAR]"
0.0001 [NP] "[JJ] [CD] [NNP] [NNS]"
0.0001 [NP] "[NN] [VBG] [NN]"
0.0001 [NP] "[DT] [NN] [VBZ]"
0.0001 [NP] "[DT] [JJ] [JJS] [NN]"
0.0001 [NP] "[NP] [SBAR] [SBAR]"
0.0001 [NP] "[NN] [NN] [NN] [NN]"
0.0001 [NP] "[JJS] [JJ] [JJ] [NNS]"
0.0001 [NP] "[NP-TTL] [CC] [NP-TTL]"
0.0001 [NP] "[NP] [VBN] [NNP] [NN]"
0.0001 [NP] "[DT] [JJS] [RB]"
0.0001 [NP] "[NP] [ADJP] [NP-TMP]"
0.0001 [NP] "[NP] [PP-DIR] [,] [PP]"
0.0001 [NP] "[NP] [JJ] [NN] [NNS]"
0.0001 [NP] "[NP] [PP] [PP-LOC] [SBAR]"
0.0001 [NP] "[QP] [NNS] [NN]"
0.0001 [NP] "[ADJP] [NNP] [NNPS] [NNP]"
0.5 [NX-1] [NNS]
0.5 [NX-1] "[NP] [SBAR]"
0.3 [NX-TTL] "[NNP] [NNP] [NNP]"
0.3 [NX-TTL] "[NP] [PP]"
0.1 [NX-TTL] "[NNP] [NNP]"
0.1 [NX-TTL] "[NNP] [NNPS]"
0.1 [NX-TTL] [NNP]
0.1 [NX-TTL] [NP]
0.2059 [NX] "[NX] [CC] [NX]"
0.1373 [NX] [NN]
0.1176 [NX] [NNS]
0.1078 [NX] "[NN] [NN]"
0.049 [NX] "[NN] [NNS]"
0.049 [NX] "[JJ] [NNS]"
0.049 [NX] "[JJ] [NN]"
0.0392 [NX] [-NONE-]
0.0294 [NX] "[NX] [PP]"
0.0196 [NX] "[NX-TTL] [CC] [NX-TTL]"
0.0196 [NX] "[JJ] [NN] [NN]"
0.0098 [NX] "[JJS] [JJ] [NN]"
0.0098 [NX] "[VBN] [NNS]"
0.0098 [NX] "[NNP] [NNP] [NN]"
0.0098 [NX] "[NX] [CC] [NX] [PP-1]"
0.0098 [NX] "[JJ] [JJ] [NNS]"
0.0098 [NX] "[NNP] [NN]"
0.0098 [NX] "[JJS] [NN] [NN]"
0.0098 [NX] "[JJS] [NN]"
0.0098 [NX] "[JJ] [NN] [NNS]"
0.0098 [NX] "[JJ] [JJ] [NN]"
0.0098 [NX] "[NNS] [NN]"
0.0098 [NX] "[NN] [VBG] [NN]"
0.0098 [NX] "[NN] [NN] [NN]"
0.0098 [NX] "[NNP] [NNP] [NNP]"
0.0098 [NX] "[DT] [NN]"
0.0098 [NX] "[NN] [JJ] [NN]"
0.0098 [NX] "[DT] [JJ] [NN]"
0.0098 [NX] "[NNP] [NNP]"
0.5185 [PDT] 'all'
0.1481 [PDT] 'half'
0.1481 [PDT] 'such'
0.0741 [PDT] 'Such'
0.0741 [PDT] 'both'
0.037 [PDT] '<unk>'
0.9117 [POS] ''s'
0.0867 [POS] '''
0.0017 [POS] '<unk>'
0.65 [PP-1] "[IN] [NP]"
0.05 [PP-1] "[ADVP] [IN] [NP]"
0.05 [PP-1] "[IN] [PP-LOC]"
0.05 [PP-1] "[JJ] [IN] [NP]"
0.05 [PP-1] "[VBN] [PP]"
0.05 [PP-1] "[VBG] [NP]"
0.05 [PP-1] "[IN] [PP-TMP]"
0.05 [PP-1] "[TO] [NP]"
0.5556 [PP-2] "[IN] [NP]"
0.1111 [PP-2] "[IN] [PP]"
0.1111 [PP-2] "[IN] [SBAR-NOM]"
0.1111 [PP-2] "[IN] [``] [NP]"
0.1111 [PP-2] "[IN] [S-NOM]"
0.5 [PP-3] "[IN] [NP]"
0.25 [PP-3] "[TO] [NP]"
0.25 [PP-3] "[RB] [IN] [NP]"
1.0 [PP-BNF] "[IN] [NP]"
0.5 [PP-CLR-2] "[TO] [NP]"
0.5 [PP-CLR-2] "[IN] [NP]"
1.0 [PP-CLR-LOC] "[IN] [NP]"
1.0 [PP-CLR=2] "[TO] [NP]"
0.6839 [PP-CLR] "[IN] [NP]"
0.1946 [PP-CLR] "[TO] [NP]"
0.0581 [PP-CLR] "[IN] [S-NOM]"
0.0097 [PP-CLR] "[IN] [SBAR-NOM]"
0.0065 [PP-CLR] "[IN] [ADJP]"
0.0043 [PP-CLR] "[IN] [``] [NP]"
0.0043 [PP-CLR] "[ADVP] [IN] [NP]"
0.0032 [PP-CLR] "[PP] [PP]"
0.0032 [PP-CLR] "[IN] [``] [NP] ['']"
0.0032 [PP-CLR] [-NONE-]
0.0032 [PP-CLR] "[RB] [NP]"
0.0032 [PP-CLR] "[IN] [SBAR]"
0.0022 [PP-CLR] "[RB] [ADJP]"
0.0022 [PP-CLR] "[IN] [PP]"
0.0022 [PP-CLR] "[PP] [,] [CC] [PP]"
0.0011 [PP-CLR] "[IN] [NP-2]"
0.0011 [PP-CLR] "[PP] [,] [ADVP] [PP]"
0.0011 [PP-CLR] "[IN] [``] [NP-TTL]"
0.0011 [PP-CLR] "[IN] [``] [S-NOM]"
0.0011 [PP-CLR] "[RB] [PP] [CC] [PP]"
0.0011 [PP-CLR] "[PP] [PP] [PP]"
0.0011 [PP-CLR] "[RP] [S-NOM]"
0.0011 [PP-CLR] "[IN] [ADVP-TMP]"
0.0011 [PP-CLR] "[RP] [NP]"
0.0011 [PP-CLR] "[IN] [''] [NP]"
0.0011 [PP-CLR] [IN]
0.0011 [PP-CLR] "[PP] [CC] [PP]"
0.0011 [PP-CLR] "[PP] [CONJP] [PP]"
0.0011 [PP-CLR] "[TO] [NP-1]"
0.0011 [PP-CLR] "[TO] [S-NOM]"
0.5 [PP-DIR-2] "[IN] [NP]"
0.5 [PP-DIR-2] "[TO] [NP]"
1.0 [PP-DIR-3] "[TO] [NP]"
0.4545 [PP-DIR-CLR] "[TO] [NP]"
0.4545 [PP-DIR-CLR] "[IN] [NP]"
0.0909 [PP-DIR-CLR] "[IN] [PP]"
1.0 [PP-DIR=2] "[IN] [NP]"
0.5136 [PP-DIR] "[TO] [NP]"
0.4252 [PP-DIR] "[IN] [NP]"
0.0068 [PP-DIR] "[IN] [ADVP-TMP]"
0.0068 [PP-DIR] "[IN] [NP] [PP-TMP]"
0.0068 [PP-DIR] [-NONE-]
0.0034 [PP-DIR] "[TO] [NP] [PP-TMP]"
0.0034 [PP-DIR] "[ADVP] [IN] [NP]"
0.0034 [PP-DIR] "[IN] [CC] [IN] [NP]"
0.0034 [PP-DIR] "[IN] [NP] [ADVP-TMP]"
0.0034 [PP-DIR] "[IN] [NP-TMP]"
0.0034 [PP-DIR] "[IN] [PP]"
0.0034 [PP-DIR] "[TO] [VP]"
0.0034 [PP-DIR] "[PP] [PP] [NP-ADV-1]"
0.0034 [PP-DIR] "[PP] [PP]"
0.0034 [PP-DIR] "[PP] [CC] [PP]"
0.0034 [PP-DIR] "[IN] [NP] [NP-TMP]"
0.0034 [PP-DIR] "[ADVP] [IN] [SBAR-NOM]"
0.9444 [PP-DTV] "[TO] [NP]"
0.0556 [PP-DTV] "[PP] [,] [CC] [PP]"
1.0 [PP-EXT] "[IN] [NP]"
1.0 [PP-LGS] "[IN] [NP]"
1.0 [PP-LOC-1] "[IN] [NP]"
1.0 [PP-LOC-CLR-TPC-1] "[IN] [NP]"
0.94 [PP-LOC-CLR] "[IN] [NP]"
0.04 [PP-LOC-CLR] [-NONE-]
0.02 [PP-LOC-CLR] "[JJ] [PP]"
1.0 [PP-LOC-PRD-TPC-1] "[IN] [NP]"
0.8485 [PP-LOC-PRD] "[IN] [NP]"
0.0606 [PP-LOC-PRD] [-NONE-]
0.0606 [PP-LOC-PRD] "[ADVP] [IN] [NP]"
0.0303 [PP-LOC-PRD] "[RB] [IN] [NP]"
1.0 [PP-LOC-TPC-1] "[IN] [NP]"
1.0 [PP-LOC=1] "[IN] [NP]"
0.9613 [PP-LOC] "[IN] [NP]"
0.0112 [PP-LOC] "[ADVP] [IN] [NP]"
0.0102 [PP-LOC] [-NONE-]
0.0041 [PP-LOC] "[IN] [S-NOM]"
0.002 [PP-LOC] "[PP] [CC] [PP]"
0.001 [PP-LOC] "[DT] [IN] [NP]"
0.001 [PP-LOC] "[IN] [PP]"
0.001 [PP-LOC] "[PP] [:] [JJ] [PP]"
0.001 [PP-LOC] "[NP-ADV] [IN] [NP]"
0.001 [PP-LOC] "[NNP] [NP]"
0.001 [PP-LOC] "[IN] [NP] [:]"
0.001 [PP-LOC] "[IN] [SBAR-NOM]"
0.001 [PP-LOC] "[IN] [``] [NP-TTL]"
0.001 [PP-LOC] "[ADVP-TMP] [IN] [NP]"
0.001 [PP-LOC] [RB]
0.001 [PP-LOC] "[RB] [IN] [NP]"
1.0 [PP-MNR-1] "[IN] [NP]"
1.0 [PP-MNR-CLR] "[IN] [NP]"
0.661 [PP-MNR] "[IN] [NP]"
0.2712 [PP-MNR] "[IN] [S-NOM]"
0.0254 [PP-MNR] "[ADVP] [IN] [NP]"
0.0169 [PP-MNR] "[IN] [``] [NP] ['']"
0.0085 [PP-MNR] "[PP] [PP]"
0.0085 [PP-MNR] "[IN] [ADVP]"
0.0085 [PP-MNR] [-NONE-]
0.8 [PP-PRD-LOC] "[IN] [NP]"
0.2 [PP-PRD-LOC] "[ADVP] [IN] [NP]"
0.6818 [PP-PRD] "[IN] [NP]"
0.0606 [PP-PRD] "[IN] [S-NOM]"
0.0606 [PP-PRD] "[ADVP] [IN] [NP]"
0.0303 [PP-PRD] [-NONE-]
0.0152 [PP-PRD] "[IN] [PP]"
0.0152 [PP-PRD] "[VBN] [PP]"
0.0152 [PP-PRD] "[JJ] [TO] [NP]"
0.0152 [PP-PRD] "[TO] [NP]"
0.0152 [PP-PRD] "[NP-ADV] [IN] [NP]"
0.0152 [PP-PRD] "[ADJP] [IN] [NP]"
0.0152 [PP-PRD] "[IN] [SBAR-NOM]"
0.0152 [PP-PRD] "[IN] [ADVP]"
0.0152 [PP-PRD] "[RB] [IN] [NP]"
0.0152 [PP-PRD] "[PP] [SBAR]"
0.0152 [PP-PRD] "[IN] [ADJP]"
0.5667 [PP-PRP] "[IN] [NP]"
0.2667 [PP-PRP] "[IN] [IN] [NP]"
0.05 [PP-PRP] "[IN] [S-NOM]"
0.0333 [PP-PRP] "[JJ] [PP]"
0.0333 [PP-PRP] "[ADVP] [IN] [IN] [NP]"
0.0167 [PP-PRP] "[IN] [IN] [SBAR-NOM]"
0.0167 [PP-PRP] "[RB] [IN] [NP]"
0.0167 [PP-PRP] "[IN] [PP]"
0.9286 [PP-PUT] "[IN] [NP]"
0.0714 [PP-PUT] "[IN] [PP]"
1.0 [PP-TMP-2] "[IN] [NP]"
1.0 [PP-TMP-3] "[IN] [NP]"
1.0 [PP-TMP-CLR] "[IN] [NP]"
1.0 [PP-TMP-PRD] "[IN] [NP]"
1.0 [PP-TMP=2] "[IN] [NP]"
1.0 [PP-TMP=3] "[IN] [NP]"
0.914 [PP-TMP] "[IN] [NP]"
0.0261 [PP-TMP] "[IN] [S-NOM]"
0.0123 [PP-TMP] "[VBG] [NP]"
0.0108 [PP-TMP] "[ADVP] [IN] [NP]"
0.0061 [PP-TMP] [-NONE-]
0.0046 [PP-TMP] "[IN] [ADJP]"
0.0046 [PP-TMP] "[PP] [,] [PP]"
0.0031 [PP-TMP] "[RB] [S-NOM]"
0.0031 [PP-TMP] "[TO] [NP]"
0.0031 [PP-TMP] "[NP-ADV] [IN] [NP]"
0.0031 [PP-TMP] "[PP-DIR] [PP-DIR]"
0.0015 [PP-TMP] "[NP] [IN] [S-NOM]"
0.0015 [PP-TMP] "[IN] [ADVP]"
0.0015 [PP-TMP] "[NP] [IN] [NP]"
0.0015 [PP-TMP] "[RB] [IN] [S-NOM]"
0.0015 [PP-TMP] "[PP] [PP]"
0.0015 [PP-TMP] "[NP-EXT] [IN] [NP]"
1.0 [PP-TPC-1] "[IN] [NP]"
1.0 [PP-TPC-2] "[IN] [NP]"
1.0 [PP-TPC] "[IN] [NP]"
1.0 [PP-TTL] "[NNP] [NP]"
0.7829 [PP] "[IN] [NP]"
0.0628 [PP] "[TO] [NP]"
0.0447 [PP] "[IN] [NP-LGS]"
0.0291 [PP] "[IN] [S-NOM]"
0.0127 [PP] [-NONE-]
0.0086 [PP] "[VBG] [PP]"
0.0068 [PP] "[VBG] [NP]"
0.0065 [PP] "[JJ] [IN] [NP]"
0.0055 [PP] "[ADVP] [IN] [NP]"
0.0044 [PP] "[VBN] [PP]"
0.0036 [PP] "[IN] [SBAR-NOM]"
0.0023 [PP] "[IN] [PP]"
0.0023 [PP] "[TO] [S-NOM]"
0.0018 [PP] "[RB] [IN] [NP]"
0.0013 [PP] "[IN] [NP] [NP-TMP]"
0.0013 [PP] "[PP] [CC] [PP]"
0.001 [PP] "[IN] [ADVP]"
0.001 [PP] "[CC] [NP]"
0.001 [PP] "[IN] [ADJP]"
0.0008 [PP] "[IN] [IN] [NP]"
0.0008 [PP] "[IN] [PP-TMP]"
0.0008 [PP] "[IN] [``] [NP]"
0.0008 [PP] "[RB] [IN] [S-NOM]"
0.0008 [PP] "[IN] [``] [NP-TTL] ['']"
0.0008 [PP] "[PP] [PP]"
0.0008 [PP] "[IN] [NP] [PP-TMP]"
0.0008 [PP] "[NP-ADV] [IN] [NP]"
0.0008 [PP] [IN]
0.0008 [PP] "[IN] [``] [NP] ['']"
0.0005 [PP] "[PP] [ADVP]"
0.0005 [PP] "[IN] [NP] [,]"
0.0005 [PP] "[RB] [NP]"
0.0005 [PP] "[DT] [PP] [CC] [PP]"
0.0005 [PP] "[ADVP] [IN] [S-NOM]"
0.0005 [PP] "[IN] [SBAR]"
0.0005 [PP] "[IN] [NP] [ADVP-TMP]"
0.0005 [PP] "[ADVP] [TO] [NP]"
0.0005 [PP] "[JJ] [NP]"
0.0003 [PP] "[CC] [ADVP] [RB] [PP-TMP]"
0.0003 [PP] "[ADVP] [IN] [NP-LGS]"
0.0003 [PP] "[CC] [PP]"
0.0003 [PP] "[IN] [SBAR-LOC]"
0.0003 [PP] "[IN] [''] [NP]"
0.0003 [PP] "[IN] [ADVP] [S-NOM]"
0.0003 [PP] "[ADVP] [PP] [PP]"
0.0003 [PP] "[IN] [NP-TTL]"
0.0003 [PP] "[IN] [ADVP-TMP]"
0.0003 [PP] "[RBR] [IN] [NP]"
0.0003 [PP] "[IN] [PP-LOC]"
0.0003 [PP] "[IN] [UCP]"
0.0003 [PP] "[DT] [TO] [NP]"
0.0003 [PP] "[IN] [CC] [IN] [NP]"
0.0003 [PP] "[ADVP] [``] [IN] [NP]"
0.0003 [PP] "[VBG] [PRN] [NP]"
0.0003 [PP] "[IN] [``] [ADJP] ['']"
0.0003 [PP] "[RBR] [NP]"
0.0003 [PP] "[IN] [``] [S]"
0.0003 [PP] "[IN] [NP-LGS] [SBAR]"
0.0003 [PP] "[VBN] [IN] [NP]"
0.0003 [PP] "[PP] [,] [PP]"
0.0003 [PP] "[IN] [NP] [.]"
0.0003 [PP] "[IN] [NP-LOC]"
0.0003 [PP] "[IN] [S-MNR]"
0.0003 [PP] "[ADVP-TMP] [IN] [NP]"
0.0003 [PP] "[NN] [NP]"
0.0003 [PP] "[RB] [RB] [IN] [NP]"
0.0003 [PP] "[JJ] [IN] [S-NOM]"
0.0003 [PP] "[IN] [FRAG]"
0.1488 [PRN] "[-LRB-] [NP] [-RRB-]"
0.1364 [PRN] "[,] [S] [,]"
0.1157 [PRN] "[,] [PP] [,]"
0.0496 [PRN] "[:] [NP] [:]"
0.0496 [PRN] "[,] [NP-SBJ] [VP] [,]"
0.0372 [PRN] "[:] [NP]"
0.0331 [PRN] "[:] [PP] [:]"
0.0331 [PRN] "[-LRB-] [NP-LOC] [-RRB-]"
0.0289 [PRN] "[,] [ADVP] [,]"
0.0248 [PRN] "[,] [''] [S] [,]"
0.0207 [PRN] "[,] [''] [SINV] [,]"
0.0165 [PRN] [SINV]
0.0165 [PRN] "[-LRB-] [S] [-RRB-]"
0.0165 [PRN] "[,] [SINV] [,]"
0.0165 [PRN] "[:] [S] [:]"
0.0165 [PRN] "[-LRB-] [PP] [-RRB-]"
0.0124 [PRN] "[SINV] [,]"
0.0124 [PRN] "[-LRB-] [VP] [-RRB-]"
0.0124 [PRN] "[:] [SBAR] [:]"
0.0083 [PRN] "[,] [ADVP-TMP] [,]"
0.0083 [PRN] "[,] [SBAR-LOC] [,]"
0.0083 [PRN] "[:] [CC] [NP] [:]"
0.0083 [PRN] "[,] [PP-LOC] [,]"
0.0083 [PRN] "[,] [SBAR-ADV] [,]"
0.0083 [PRN] [S]
0.0083 [PRN] "[-LRB-] [ADJP] [-RRB-]"
0.0083 [PRN] "[,] [PP-TMP] [,]"
0.0083 [PRN] "[:] [VP] [:]"
0.0083 [PRN] "[-LRB-] [SBAR-ADV] [-RRB-]"
0.0041 [PRN] "[:] [NP-LOC] [PP-TMP]"
0.0041 [PRN] "[:] [ADJP] [:]"
0.0041 [PRN] "[:] [SBAR]"
0.0041 [PRN] "[:] [S-ADV] [:]"
0.0041 [PRN] "[:] [NP] [PP-DIR] [:]"
0.0041 [PRN] "[:] [PP] [NP]"
